name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
11 Comae Berenices b,,,,
11 Ursae Minoris b,,,,
14 Andromedae b,,,,
14 Herculis b,,,,
16 Cygni B b,,,,
18 Delphini b,,,,
1RXS J160929.1-210524 b,,,,
24 Bootis b,,,,
24 Sextantis b,,,,
24 Sextantis c,,,,
11 Comae Berenices b,,,,
11 Ursae Minoris b,,,,
14 Andromedae b,,,,
14 Herculis b,,,,
16 Cygni B b,,,,
18 Delphini b,,,,
1RXS J160929.1-210524 b,,,,
24 Bootis b,,,,
24 Sextantis b,,,,
24 Sextantis c,,,,
11 Comae Berenices b,,,,
11 Ursae Minoris b,,,,
14 Andromedae b,,,,
14 Herculis b,,,,
16 Cygni B b,,,,
18 Delphini b,,,,
1RXS J160929.1-210524 b,,,,
24 Bootis b,,,,
24 Sextantis b,,,,
24 Sextantis c,,,,
11 Comae Berenices b,,,,
11 Ursae Minoris b,,,,
14 Andromedae b,,,,
14 Herculis b,,,,
16 Cygni B b,,,,
18 Delphini b,,,,
1RXS J160929.1-210524 b,,,,
24 Bootis b,,,,
24 Sextantis b,,,,
24 Sextantis c,,,,
11 Comae Berenices b,,,,
11 Ursae Minoris b,,,,
14 Andromedae b,,,,
14 Herculis b,,,,
16 Cygni B b,,,,
18 Delphini b,,,,
1RXS J160929.1-210524 b,,,,
24 Bootis b,,,,
24 Sextantis b,,,,
24 Sextantis c,,,,
47 Ursae Majoris b,,,,
47 Ursae Majoris c,,,,
47 Ursae Majoris d,,,,
4 Ursae Majoris b,,,,
51 Eridani b,,,,
51 Pegasi b,,,,
55 Cancri b,,,,
55 Cancri c,,,,
55 Cancri d,,,,
55 Cancri e,,,,
55 Cancri f,,,,
61 Virginis b,,,,
61 Virginis c,,,,
61 Virginis d,,,,
6 Lyncis b,,,,
70 Virginis b,,,,
75 Ceti b,,,,
7 Canis Majoris b,,,,
7 Canis Majoris c,,,,
81 Ceti b,,,,
8 Ursae Minoris b,,,,
91 Aquarii b,,,,
AB Pictoris b,,,,
Alpha Arietis b,,,,
Alpha Tauri b,,,,
AU Microscopii b,,,,
BD+03 2562 b,,,,
BD-06 1339 b,,,,
BD-06 1339 c,,,,
BD-08 2823 b,,,,
8 Ursae Minoris b,,,,
91 Aquarii b,,,,
AB Pictoris b,,,,
Alpha Arietis b,,,,
Alpha Tauri b,,,,
AU Microscopii b,,,,
BD+03 2562 b,,,,
BD-06 1339 b,,,,
BD-06 1339 c,,,,
BD-08 2823 b,,,,
BD-08 2823 c,,,,
BD-10 3166 b,,,,
BD-11 4672 b,,,,
BD-11 4672 c,,,,
BD-13 2130 b,,,,
BD+14 4559 b,,,,
BD+15 2375 b,,,,
BD+15 2940 b,,,,
BD-17 63 b,,,,
BD+20 2457 b,,,,
BD-08 2823 c,,,,
BD-10 3166 b,,,,
BD-11 4672 b,,,,
BD-11 4672 c,,,,
BD-13 2130 b,,,,
BD+14 4559 b,,,,
BD+15 2375 b,,,,
BD+15 2940 b,,,,
BD-17 63 b,,,,
BD+20 2457 b,,,,
BD-08 2823 c,,,,
BD-10 3166 b,,,,
BD-11 4672 b,,,,
BD-11 4672 c,,,,
BD-13 2130 b,,,,
BD+14 4559 b,,,,
BD+15 2375 b,,,,
BD+15 2940 b,,,,
BD-17 63 b,,,,
BD+20 2457 b,,,,
BD+20 2457 c,,,,
BD+20 274 b,,,,
BD+20 594 b,,,,
BD+48 738 b,,,,
BD+48 740 b,,,,
BD+49 828 b,,,,
Beta Cancri b,,,,
Beta Pictoris b,,,,
Beta Pictoris c,,,,
Beta Ursae Minoris b,,,,
CoRoT-18 b,,,,
CoRoT-19 b,,,,
CoRoT-1 b,,,,
CoRoT-20 b,,,,
CoRoT-20 c,,,,
CoRoT-21 b,,,,
CoRoT-22 b,,,,
CoRoT-23 b,,,,
CoRoT-24 b,,,,
CoRoT-24 c,,,,
CoRoT-18 b,,,,
CoRoT-19 b,,,,
CoRoT-1 b,,,,
CoRoT-20 b,,,,
CoRoT-20 c,,,,
CoRoT-21 b,,,,
CoRoT-22 b,,,,
CoRoT-23 b,,,,
CoRoT-24 b,,,,
CoRoT-24 c,,,,
CoRoT-18 b,,,,
CoRoT-19 b,,,,
CoRoT-1 b,,,,
CoRoT-20 b,,,,
CoRoT-20 c,,,,
CoRoT-21 b,,,,
CoRoT-22 b,,,,
CoRoT-23 b,,,,
CoRoT-24 b,,,,
CoRoT-24 c,,,,
CoRoT-25 b,,,,
CoRoT-26 b,,,,
CoRoT-27 b,,,,
CoRoT-28 b,,,,
CoRoT-29 b,,,,
CoRoT-2 b,,,,
CoRoT-30 b,,,,
CoRoT-31 b,,,,
CoRoT-3 b,,,,
CoRoT-4 b,,,,
DH Tauri b,,,,
DMPP-1 b,,,,
DMPP-1 c,,,,
DMPP-1 d,,,,
DMPP-1 e,,,,
DMPP-2 b,,,,
DMPP-3 A b,,,,
DP Leonis b,,,,
DS Tucanae A b,,,,
EPIC 201238110 b,,,,
DH Tauri b,,,,
DMPP-1 b,,,,
DMPP-1 c,,,,
DMPP-1 d,,,,
DMPP-1 e,,,,
DMPP-2 b,,,,
DMPP-3 A b,,,,
DP Leonis b,,,,
DS Tucanae A b,,,,
EPIC 201238110 b,,,,
DH Tauri b,,,,
DMPP-1 b,,,,
DMPP-1 c,,,,
DMPP-1 d,,,,
DMPP-1 e,,,,
DMPP-2 b,,,,
DMPP-3 A b,,,,
DP Leonis b,,,,
DS Tucanae A b,,,,
EPIC 201238110 b,,,,
DH Tauri b,,,,
DMPP-1 b,,,,
DMPP-1 c,,,,
DMPP-1 d,,,,
DMPP-1 e,,,,
DMPP-2 b,,,,
DMPP-3 A b,,,,
DP Leonis b,,,,
DS Tucanae A b,,,,
EPIC 201238110 b,,,,
EPIC 201497682 b,,,,
EPIC 201615463 c,,,,
EPIC 201754305 d,,,,
EPIC 201833600 c,,,,
EPIC 201841433 b,,,,
EPIC 205950854 c,,,,
EPIC 206024342 b,,,,
EPIC 206032309 b,,,,
